,samplenames,lat,lon
121,Gold_Coast_F_54909,28.06060893,153.3453939
122,Gold_Coast_F_73511,28.06060893,153.3453939
123,Gold_Coast_M_54910,28.06060893,153.3453939
124,Gold_Coast_M_54980,28.06060893,153.3453939
125,Gold_Coast_M_56090,28.06060893,153.3453939
126,Gold_Coast_M_61808,28.06060893,153.3453939
127,Gold_Coast_M_62309,28.06060893,153.3453939
128,Gold_Coast_M_66922,28.06060893,153.3453939
129,Gold_Coast_M_70414,28.06060893,153.3453939
130,Gold_Coast_M_71441,28.06060893,153.3453939
131,Gold_Coast_M_78719,28.06060893,153.3453939
132,Gold_Coast_M_84814,28.06060893,153.3453939
133,Grafton_M_M50499,29.60427778,152.8518889
134,GUH_F_DECC104,31.0762929,150.2280461
135,GUH_F_DECC130,31.0762929,150.2280461
136,GUH_F_DECC137F,31.0762929,150.2280461
137,GUH_F_DECC162,31.0762929,150.2280461
138,GUH_F_USYD062F,31.0762929,150.2280461
139,GUH_F_USYD089F,31.0762929,150.2280461
140,GUH_M_DECC015,31.0762929,150.2280461
141,GUH_M_DECC076,31.0762929,150.2280461
142,GUH_M_USYD014,31.0762929,150.2280461
143,GUH_M_USYD040,31.0762929,150.2280461
144,GUH_M_USYD098M,31.0762929,150.2280461
145,Gundagai_M_M49249,29.0088889,153.3975
146,Gympie_F_82257,26.21548075,152.5197776
147,Gympie_F_92626,26.21548075,152.5197776
148,Gympie_F_93216,26.21548075,152.5197776
149,Gympie_F_93694,26.21548075,152.5197776
150,Gympie_M_87743,26.21548075,152.5197776
151,Gympie_M_95464,26.21548075,152.5197776
152,HDS_F_SAWS13,37.63217913,146.1689947
153,HDS_M_SAWS01,37.63217913,146.1689947
154,HDS_M_SAWS09,37.63217913,146.1689947
155,HDS_M_SAWS12,37.63217913,146.1689947
156,Hidden-Vale_F_Claire,27.489436,152.4490505
157,Hidden-Vale_F_Shamala,27.489436,152.4490505
158,Inverell_M_M47687_001,29.7523611,150.585
159,Inverell_M_M50293_001,29.7523611,150.585
160,Kyogle_F_50350,28.55011112,152.9133056
161,Kyogle_F_50356,28.55011112,152.9133056
162,Kyogle_F_50418,28.55011112,152.9133056
163,Kyogle_F_50433,28.55011112,152.9133056
164,Kyogle_F_50434,28.55011112,152.9133056
165,Kyogle_F_50438,28.55011112,152.9133056
166,Kyogle_F_M49289,28.55011112,152.9133056
167,Kyogle_F_M50471,28.55011112,152.9133056
168,Kyogle_F_M50519,28.55011112,152.9133056
169,Kyogle_M_50316,28.55011112,152.9133056
170,Kyogle_M_50360,28.55011112,152.9133056
171,Kyogle_M_50384,28.55011112,152.9133056
172,Kyogle_M_50420,28.55011112,152.9133056
173,Kyogle_M_50927,28.55011112,152.9133056
174,Kyogle_M_M50355_001,28.55011112,152.9133056
175,Kyogle_M_M50374_001,28.55011112,152.9133056
176,Kyogle_M_M50448,28.55011112,152.9133056
177,Kyogle_M_M50481,28.55011112,152.9133056
178,Kyogle_M_M50488,28.55011112,152.9133056
179,Lismore_F_2110271,28.80509609,153.3072672
180,Lismore_F_2111152,28.80509609,153.3072672
181,Lismore_F_2111222,28.80509609,153.3072672
182,Lismore_F_2111232,28.80509609,153.3072672
183,Lismore_F_2112201,28.80509609,153.3072672
184,Lismore_F_2112212,28.80509609,153.3072672
185,Lismore_F_2112273,28.80509609,153.3072672
186,Lismore_F_M50298,28.80509609,153.3072672
187,Lismore_F_M50309,28.80509609,153.3072672
188,Lismore_F_M50310,28.80509609,153.3072672
189,Lismore_F_M50336,28.80509609,153.3072672
190,Lismore_F_M50340,28.80509609,153.3072672
191,Lismore_F_M50369,28.80509609,153.3072672
192,Lismore_F_M50510,28.80509609,153.3072672
193,Lismore_M_2111192,28.80509609,153.3072672
194,Lismore_M_2111271,28.80509609,153.3072672
195,Lismore_M_2112021,28.80509609,153.3072672
196,Lismore_M_M50295,28.80509609,153.3072672
197,Lismore_M_M50352,28.80509609,153.3072672
198,Lismore_M_M50397,28.80509609,153.3072672
199,Lismore_M_M50535,28.80509609,153.3072672
200,Liverpool_Plains_F_48964,31.0762929,150.2280461
201,Liverpool_Plains_F_49019,31.0762929,150.2280461
202,Liverpool_Plains_F_M48961,31.0762929,150.2280461
203,Liverpool_Plains_F_M48962,31.0762929,150.2280461
204,Liverpool_Plains_F_M48974,31.0762929,150.2280461
205,Liverpool_Plains_F_M49023_001,31.0762929,150.2280461
206,Liverpool_Plains_M_48967,31.0762929,150.2280461
207,Liverpool_Plains_M_48973,31.0762929,150.2280461
208,Liverpool_Plains_M_49001,31.0762929,150.2280461
209,Liverpool_Plains_M_M46161,31.0762929,150.2280461
210,Liverpool_Plains_M_M48983,31.0762929,150.2280461
211,Liverpool_Plains_M_M49020_001,31.0762929,150.2280461
212,Liverpool_Plains_M_M49021_001,31.0762929,150.2280461
213,Liverpool_Plains_U_46160,31.0762929,150.2280461
